Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"RL","Utilisation des terres","196","Chypre","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","925","A","Chiffre officiel"
"RL","Utilisation des terres","170","Colombie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","114174.9","A","Chiffre officiel"
"RL","Utilisation des terres","174","Comores","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","186.1","A","Chiffre officiel"
"RL","Utilisation des terres","178","Congo","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","34200","A","Chiffre officiel"
"RL","Utilisation des terres","188","Costa Rica","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","5110","A","Chiffre officiel"
"RL","Utilisation des terres","384","Côte d'Ivoire","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","32246","A","Chiffre officiel"
"RL","Utilisation des terres","191","Croatie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8807.3","A","Chiffre officiel"
"RL","Utilisation des terres","192","Cuba","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10988","A","Chiffre officiel"
"RL","Utilisation des terres","531","Curaçao","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","44.4","A","Chiffre officiel"
"RL","Utilisation des terres","208","Danemark","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4292","A","Chiffre officiel"
"RL","Utilisation des terres","262","Djibouti","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2320","A","Chiffre officiel"
"RL","Utilisation des terres","212","Dominique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","75","A","Chiffre officiel"
"RL","Utilisation des terres","818","Égypte","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","100145","A","Chiffre officiel"
"RL","Utilisation des terres","222","El Salvador","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2104","A","Chiffre officiel"
"RL","Utilisation des terres","784","Émirats arabes unis","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9864.79","A","Chiffre officiel"
"RL","Utilisation des terres","218","Équateur","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","25637","A","Chiffre officiel"
"RL","Utilisation des terres","232","Érythrée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","12163.5908","I","Valeur imputée"
"RL","Utilisation des terres","724","Espagne","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","50594","A","Chiffre officiel"
"RL","Utilisation des terres","233","Estonie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4534","A","Chiffre officiel"
"RL","Utilisation des terres","748","Eswatini","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1736","A","Chiffre officiel"
"RL","Utilisation des terres","840","États-Unis d'Amérique","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","983151","A","Chiffre officiel"
"RL","Utilisation des terres","231","Éthiopie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","113624.3504","I","Valeur imputée"
"RL","Utilisation des terres","643","Fédération de Russie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1709825","A","Chiffre officiel"
"RL","Utilisation des terres","242","Fidji","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1827","T","Chiffre non officiel"
"RL","Utilisation des terres","246","Finlande","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","33842","A","Chiffre officiel"
"RL","Utilisation des terres","250","France","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","54908.7","A","Chiffre officiel"
"RL","Utilisation des terres","266","Gabon","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26767","A","Chiffre officiel"
"RL","Utilisation des terres","270","Gambie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1130","A","Chiffre officiel"
"RL","Utilisation des terres","268","Géorgie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","6970","A","Chiffre officiel"
"RL","Utilisation des terres","288","Ghana","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","23854","A","Chiffre officiel"
"RL","Utilisation des terres","292","Gibraltar","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1","A","Chiffre officiel"
"RL","Utilisation des terres","300","Grèce","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","13196","A","Chiffre officiel"
"RL","Utilisation des terres","308","Grenade","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","34","A","Chiffre officiel"
"RL","Utilisation des terres","304","Groenland","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","41045","A","Chiffre officiel"
"RL","Utilisation des terres","312","Guadeloupe","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","163","A","Chiffre officiel"
"RL","Utilisation des terres","316","Guam","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","54","A","Chiffre officiel"
"RL","Utilisation des terres","320","Guatemala","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","10889","A","Chiffre officiel"
"RL","Utilisation des terres","324","Guinée","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24586","A","Chiffre officiel"
"RL","Utilisation des terres","226","Guinée équatoriale","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2805","A","Chiffre officiel"
"RL","Utilisation des terres","624","Guinée-Bissau","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","3613","A","Chiffre officiel"
"RL","Utilisation des terres","328","Guyana","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","21497","A","Chiffre officiel"
"RL","Utilisation des terres","254","Guyane française","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","8358","I","Valeur imputée"
"RL","Utilisation des terres","332","Haïti","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2775","A","Chiffre officiel"
"RL","Utilisation des terres","340","Honduras","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","11249","A","Chiffre officiel"
"RL","Utilisation des terres","348","Hongrie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","9303","A","Chiffre officiel"
"RL","Utilisation des terres","833","Île de Man","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","57","A","Chiffre officiel"
"RL","Utilisation des terres","574","Île Norfolk","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","4","A","Chiffre officiel"
"RL","Utilisation des terres","830","Îles Anglo-Normandes","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","19.8","A","Chiffre officiel"
"RL","Utilisation des terres","136","Îles Caïmanes","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","26.4","A","Chiffre officiel"
"RL","Utilisation des terres","184","Îles Cook","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","24","A","Chiffre officiel"
"RL","Utilisation des terres","238","Îles Falkland (Malvinas)","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","1217","A","Chiffre officiel"
"RL","Utilisation des terres","234","Îles Féroé","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","139.6","A","Chiffre officiel"
"RL","Utilisation des terres","580","Îles Mariannes du Nord","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","46","A","Chiffre officiel"
"RL","Utilisation des terres","584","Îles Marshall","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","18","A","Chiffre officiel"
"RL","Utilisation des terres","090","Îles Salomon","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","2890","I","Valeur imputée"
"RL","Utilisation des terres","796","Îles Turques-et-Caïques","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","95","A","Chiffre officiel"
"RL","Utilisation des terres","850","Îles Vierges américaines","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","35","A","Chiffre officiel"
"RL","Utilisation des terres","092","Îles Vierges britanniques","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","15","A","Chiffre officiel"
"RL","Utilisation des terres","876","Îles Wallis-et-Futuna","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","14","A","Chiffre officiel"
"RL","Utilisation des terres","356","Inde","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","328726","A","Chiffre officiel"
"RL","Utilisation des terres","360","Indonésie","5110","Superficie","6600","Superficie du pays","2013","2013","1000 ha","191093","A","Chiffre officiel"
